Course_Name,Course_ID,CU_Pk1,Item_Position,Gradebook_Item,Gradebook_Type,Gradebook_Date,Grade_Catagory,Status,Points_Earned,Points_Attempted,Points_Possible,last_access_date
Anatomy and Physiology A (Sem2 16-17 Sec 01),AnPhA-S217-01,255533,20,2.1: Types of Membranes,N,07:42.6,Hw,,8,0,10,28:57.3
Anatomy and Physiology A (Sem2 16-17 Sec 01),AnPhA-S217-01,255533,21,2.2 - 2.3: Quiz,N,46:13.0,Qz,,8,0,10,28:57.3
Anatomy and Physiology A (Sem2 16-17 Sec 01),AnPhA-S217-01,255533,22,2.4 - 2.5 Quiz,N,39:09.8,Qz,,8,0,10,28:57.3
Anatomy and Physiology A (Sem2 16-17 Sec 01),AnPhA-S217-01,255533,23,2.6: Quiz,N,47:01.0,Qz,,10,0,10,28:57.3
Anatomy and Physiology A (Sem2 16-17 Sec 01),AnPhA-S217-01,255533,24,Unit 2 Assessment: Test,N,46:59.7,Qz,,26,0,30,28:57.3
Anatomy and Physiology A (Sem2 16-17 Sec 01),AnPhA-S217-01,255533,25,3.1: Models of the Integumentary System,N,21:45.0,Hw,,10,0,10,28:57.3
Anatomy and Physiology A (Sem2 16-17 Sec 01),AnPhA-S217-01,255533,26,3.2 - 3.3: Quiz,N,57:26.2,Qz,,9,0,10,28:57.3
Anatomy and Physiology A (Sem2 16-17 Sec 01),AnPhA-S217-01,255533,27,3.4: Skin Twin - Discussion Board,N,44:21.8,Hw,,10,0,10,28:57.3
Anatomy and Physiology A (Sem2 16-17 Sec 01),AnPhA-S217-01,255533,28,Unit 3 Assessment: UV Exposure Lab,N,09:45.8,Hw,,30,0,30,28:57.3
Anatomy and Physiology A (Sem2 16-17 Sec 01),AnPhA-S217-01,255533,29,PROGRESS CHECK 2 @ 03-15-17,P,NULL,,,215.38,235,235,28:57.3
Anatomy and Physiology A (Sem2 16-17 Sec 01),AnPhA-S217-01,255533,30,4.2: Balloon Skull Lab,N,02:06.0,Hw,,10,0,10,28:57.3
Anatomy and Physiology A (Sem2 16-17 Sec 01),AnPhA-S217-01,255533,31,4.1 - 4.3: Quiz,N,37:23.8,Qz,,9,0,10,28:57.3
Anatomy and Physiology A (Sem2 16-17 Sec 01),AnPhA-S217-01,255533,32,4.4: Quiz,N,23:23.1,Qz,,8,0,10,28:57.3
Anatomy and Physiology A (Sem2 16-17 Sec 01),AnPhA-S217-01,255533,33,4.5: Muscle Movements in our Daily Life,N,03:29.4,Hw,,9.38,0,10,28:57.3
Anatomy and Physiology A (Sem2 16-17 Sec 01),AnPhA-S217-01,255533,34,4.6: Soda and Osteoporosis Research Writing,N,32:30.9,Hw,,10,0,10,28:57.3
Anatomy and Physiology A (Sem2 16-17 Sec 01),AnPhA-S217-01,255533,35,Unit 4 Assessment: Test,N,29:38.6,Qz,,29,0,30,28:57.3
Anatomy and Physiology A (Sem2 16-17 Sec 01),AnPhA-S217-01,255533,36,5.1: Quiz,N,34:52.1,Qz,,10,0,10,28:57.3
Anatomy and Physiology A (Sem2 16-17 Sec 01),AnPhA-S217-01,255533,37,5.4: Muscle Tissue Types Chart,N,22:45.1,Hw,,9.32,0,10,28:57.3
Anatomy and Physiology A (Sem2 16-17 Sec 01),AnPhA-S217-01,255533,38,5.2 - 5.4: Quiz,N,01:33.4,Qz,,5,0,10,28:57.3
Anatomy and Physiology A (Sem2 16-17 Sec 01),AnPhA-S217-01,255533,39,PROGRESS CHECK 3 @ 04-18-17,P,NULL,,,315.08,345,345,28:57.3
Anatomy and Physiology A (Sem2 16-17 Sec 01),AnPhA-S217-01,255533,40,5.5: Naming Skeletal Muscle - Discussion Board,N,01:31.4,Hw,,10,0,10,28:57.3
Anatomy and Physiology A (Sem2 16-17 Sec 01),AnPhA-S217-01,255533,41,5.6: Quiz,N,11:44.5,Qz,,9,0,10,28:57.3
Anatomy and Physiology A (Sem2 16-17 Sec 01),AnPhA-S217-01,255533,42,Unit 5 Assessment: Fitness Class Poster,N,52:59.3,Hw,,30,0,30,28:57.3
Anatomy and Physiology A (Sem2 16-17 Sec 01),AnPhA-S217-01,255533,43,6.1: Quiz,N,00:42.7,Qz,,10,0,10,28:57.3
Anatomy and Physiology A (Sem2 16-17 Sec 01),AnPhA-S217-01,255533,44,6.2: Helmet Law - Discussion Board,N,10:40.9,Hw,,10,0,10,28:57.3
Anatomy and Physiology A (Sem2 16-17 Sec 01),AnPhA-S217-01,255533,45,6.3 - 6.4: Quiz,N,12:19.4,Qz,,10,0,10,28:57.3
Anatomy and Physiology A (Sem2 16-17 Sec 01),AnPhA-S217-01,255533,46,6.5: Diagramming the Nervous System,N,02:42.4,Hw,,10,0,10,28:57.3
Anatomy and Physiology A (Sem2 16-17 Sec 01),AnPhA-S217-01,255533,47,Unit 6 Assessment: Test,N,08:11.4,Qz,,28,0,30,28:57.3
Anatomy and Physiology A (Sem2 16-17 Sec 01),AnPhA-S217-01,255533,48,7.1: Quiz,N,53:08.4,Qz,,10,0,10,28:57.3
Anatomy and Physiology A (Sem2 16-17 Sec 01),AnPhA-S217-01,255533,49,7.2: Virtual Eye Dissection,N,52:53.8,Hw,,10,0,10,28:57.3
Anatomy and Physiology A (Sem2 16-17 Sec 01),AnPhA-S217-01,255533,50,7.3: Anatomy and Physiology of Hearing Flow Chart,N,13:37.4,Hw,,10,0,10,28:57.3
Anatomy and Physiology A (Sem2 16-17 Sec 01),AnPhA-S217-01,255533,51,PROGRESS CHECK 4 @ 05-15-17,P,NULL,,,462.08,495,495,28:57.3
Anatomy and Physiology A (Sem2 16-17 Sec 01),AnPhA-S217-01,255533,52,7.4: Quiz,N,00:57.4,Qz,,7,0,10,28:57.3
Anatomy and Physiology A (Sem2 16-17 Sec 01),AnPhA-S217-01,255533,53,Unit 7 Assessment: Create Your Own Senses Experiment,N,NULL,Hw,,NULL,0,30,28:57.3
Anatomy and Physiology A (Sem2 16-17 Sec 01),AnPhA-S217-01,255533,54,8.1 - 8.3: Quiz,N,56:59.5,Qz,,10,0,10,28:57.3
Anatomy and Physiology A (Sem2 16-17 Sec 01),AnPhA-S217-01,255533,55,8.4: Negative Feedback Loops of the Endocrine Pancreas,N,52:17.0,Hw,,7.75,0,10,28:57.3
Anatomy and Physiology A (Sem2 16-17 Sec 01),AnPhA-S217-01,255533,56,8.5: Modeling Leptin and Obesity,N,20:46.7,Hw,,10,0,10,28:57.3
Anatomy and Physiology A (Sem2 16-17 Sec 01),AnPhA-S217-01,255533,57,Unit 8 Assessment: Test,N,05:05.2,Qz,,29,0,30,28:57.3
Anatomy and Physiology A (Sem2 16-17 Sec 01),AnPhA-S217-01,255533,58,Final Exam,N,53:08.1,,,27,0,30,28:57.3
Anatomy and Physiology A (Sem2 16-17 Sec 01),AnPhA-S217-01,255533,59,POINTS EARNED & TOTAL COURSE POINTS,T,NULL,,,552.83,0,625,28:57.3
Anatomy and Physiology A (Sem2 16-17 Sec 01),AnPhA-S217-01,258997,3,POINTS EARNED & TOTAL COURSE POINTS,T,NULL,,,515.72,0,625,32:47.9
Anatomy and Physiology A (Sem2 16-17 Sec 01),AnPhA-S217-01,258997,4,WORK ATTEMPTED,T,NULL,,,515.72,625,625,32:47.9
Anatomy and Physiology A (Sem2 16-17 Sec 01),AnPhA-S217-01,258997,9,0.1: Message Your Instructor,N,15:31.4,,,5,0,5,32:47.9
Anatomy and Physiology A (Sem2 16-17 Sec 01),AnPhA-S217-01,258997,10,0.2: Intro Assignment - Discussion Board,N,11:04.3,Hw,,2.5,0,5,32:47.9
Anatomy and Physiology A (Sem2 16-17 Sec 01),AnPhA-S217-01,258997,11,0.3: Intro Assignment - Submitting Files,N,26:35.6,Hw,,5,0,5,32:47.9
Anatomy and Physiology A (Sem2 16-17 Sec 01),AnPhA-S217-01,258997,12,1.1: Quiz,N,10:30.4,Qz,,10,0,10,32:47.9
Anatomy and Physiology A (Sem2 16-17 Sec 01),AnPhA-S217-01,258997,13,1.2: Quiz,N,08:29.3,Qz,,8,0,10,32:47.9
Anatomy and Physiology A (Sem2 16-17 Sec 01),AnPhA-S217-01,258997,14,1.3: Create a Living Creature,N,32:10.6,Hw,,10,0,10,32:47.9
Anatomy and Physiology A (Sem2 16-17 Sec 01),AnPhA-S217-01,258997,15,1.3: Create a Living Creature - Discussion Board,N,35:15.8,Hw,,10,0,10,32:47.9
Anatomy and Physiology A (Sem2 16-17 Sec 01),AnPhA-S217-01,258997,16,1.4: Negative Feedback Loop Flowchart,N,49:27.7,Hw,,9.13,0,10,32:47.9
Anatomy and Physiology A (Sem2 16-17 Sec 01),AnPhA-S217-01,258997,17,1.5: Quiz,N,33:06.8,Qz,,8,0,10,32:47.9
Anatomy and Physiology A (Sem2 16-17 Sec 01),AnPhA-S217-01,258997,18,Unit 1 Assessment: Pickle Autopsy Lab,N,11:01.6,Hw,,21,0,30,32:47.9
Anatomy and Physiology A (Sem2 16-17 Sec 01),AnPhA-S217-01,258997,19,PROGRESS CHECK 1 @ 02-16-17,P,NULL,,,88.63,105,105,32:47.9
Anatomy and Physiology A (Sem2 16-17 Sec 01),AnPhA-S217-01,258997,20,2.1: Types of Membranes,N,21:14.9,Hw,,9.5,0,10,32:47.9
Anatomy and Physiology A (Sem2 16-17 Sec 01),AnPhA-S217-01,258997,21,2.2 - 2.3: Quiz,N,13:00.2,Qz,,9,0,10,32:47.9
Anatomy and Physiology A (Sem2 16-17 Sec 01),AnPhA-S217-01,258997,22,2.4 - 2.5 Quiz,N,14:04.1,Qz,,7,0,10,32:47.9
Anatomy and Physiology A (Sem2 16-17 Sec 01),AnPhA-S217-01,258997,23,2.6: Quiz,N,24:18.4,Qz,,9,0,10,32:47.9
Anatomy and Physiology A (Sem2 16-17 Sec 01),AnPhA-S217-01,258997,24,Unit 2 Assessment: Test,N,12:22.0,Qz,,26,0,30,32:47.9
Anatomy and Physiology A (Sem2 16-17 Sec 01),AnPhA-S217-01,258997,25,3.1: Models of the Integumentary System,N,25:08.5,Hw,,10,0,10,32:47.9
Anatomy and Physiology A (Sem2 16-17 Sec 01),AnPhA-S217-01,258997,26,3.2 - 3.3: Quiz,N,59:21.4,Qz,,8,0,10,32:47.9
Anatomy and Physiology A (Sem2 16-17 Sec 01),AnPhA-S217-01,258997,27,3.4: Skin Twin - Discussion Board,N,25:13.0,Hw,,10,0,10,32:47.9
Anatomy and Physiology A (Sem2 16-17 Sec 01),AnPhA-S217-01,258997,28,Unit 3 Assessment: UV Exposure Lab,N,11:47.6,Hw,,27.38,0,30,32:47.9
Anatomy and Physiology A (Sem2 16-17 Sec 01),AnPhA-S217-01,258997,29,PROGRESS CHECK 2 @ 03-15-17,P,NULL,,,204.51,235,235,32:47.9
Anatomy and Physiology A (Sem2 16-17 Sec 01),AnPhA-S217-01,258997,30,4.2: Balloon Skull Lab,N,21:49.7,Hw,,10,0,10,32:47.9
Anatomy and Physiology A (Sem2 16-17 Sec 01),AnPhA-S217-01,258997,31,4.1 - 4.3: Quiz,N,46:46.8,Qz,,7,0,10,32:47.9
Anatomy and Physiology A (Sem2 16-17 Sec 01),AnPhA-S217-01,258997,32,4.4: Quiz,N,29:36.0,Qz,,7,0,10,32:47.9
Anatomy and Physiology A (Sem2 16-17 Sec 01),AnPhA-S217-01,258997,33,4.5: Muscle Movements in our Daily Life,N,22:56.3,Hw,,9.38,0,10,32:47.9
Anatomy and Physiology A (Sem2 16-17 Sec 01),AnPhA-S217-01,258997,34,4.6: Soda and Osteoporosis Research Writing,N,10:50.6,Hw,,10,0,10,32:47.9
Anatomy and Physiology A (Sem2 16-17 Sec 01),AnPhA-S217-01,258997,35,Unit 4 Assessment: Test,N,08:37.5,Qz,,26,0,30,32:47.9
Anatomy and Physiology A (Sem2 16-17 Sec 01),AnPhA-S217-01,258997,36,5.1: Quiz,N,51:51.3,Qz,,5,0,10,32:47.9
Anatomy and Physiology A (Sem2 16-17 Sec 01),AnPhA-S217-01,258997,37,5.4: Muscle Tissue Types Chart,N,32:34.5,Hw,,9.32,0,10,32:47.9
Anatomy and Physiology A (Sem2 16-17 Sec 01),AnPhA-S217-01,258997,38,5.2 - 5.4: Quiz,N,43:28.7,Qz,,6,0,10,32:47.9
Anatomy and Physiology A (Sem2 16-17 Sec 01),AnPhA-S217-01,258997,39,PROGRESS CHECK 3 @ 04-18-17,P,NULL,,,294.21,345,345,32:47.9
Anatomy and Physiology A (Sem2 16-17 Sec 01),AnPhA-S217-01,258997,40,5.5: Naming Skeletal Muscle - Discussion Board,N,35:50.3,Hw,,8,0,10,32:47.9
Anatomy and Physiology A (Sem2 16-17 Sec 01),AnPhA-S217-01,258997,41,5.6: Quiz,N,26:06.2,Qz,,6,0,10,32:47.9
Anatomy and Physiology A (Sem2 16-17 Sec 01),AnPhA-S217-01,258997,42,Unit 5 Assessment: Fitness Class Poster,N,10:38.4,Hw,,30,0,30,32:47.9
Anatomy and Physiology A (Sem2 16-17 Sec 01),AnPhA-S217-01,258997,43,6.1: Quiz,N,11:57.7,Qz,,8,0,10,32:47.9
Anatomy and Physiology A (Sem2 16-17 Sec 01),AnPhA-S217-01,258997,44,6.2: Helmet Law - Discussion Board,N,49:37.2,Hw,,10,0,10,32:47.9
Anatomy and Physiology A (Sem2 16-17 Sec 01),AnPhA-S217-01,258997,45,6.3 - 6.4: Quiz,N,18:44.9,Qz,,10,0,10,32:47.9
Anatomy and Physiology A (Sem2 16-17 Sec 01),AnPhA-S217-01,258997,46,6.5: Diagramming the Nervous System,N,18:33.5,Hw,,10,0,10,32:47.9
Anatomy and Physiology A (Sem2 16-17 Sec 01),AnPhA-S217-01,258997,47,Unit 6 Assessment: Test,N,30:47.4,Qz,,23,0,30,32:47.9
Anatomy and Physiology A (Sem2 16-17 Sec 01),AnPhA-S217-01,258997,48,7.1: Quiz,N,41:20.3,Qz,,6,0,10,32:47.9
Anatomy and Physiology A (Sem2 16-17 Sec 01),AnPhA-S217-01,258997,49,7.2: Virtual Eye Dissection,N,31:26.1,Hw,,9.25,0,10,32:47.9
Anatomy and Physiology A (Sem2 16-17 Sec 01),AnPhA-S217-01,258997,50,7.3: Anatomy and Physiology of Hearing Flow Chart,N,13:55.8,Hw,,7.37,0,10,32:47.9
Anatomy and Physiology A (Sem2 16-17 Sec 01),AnPhA-S217-01,258997,51,PROGRESS CHECK 4 @ 05-15-17,P,NULL,,,421.83,495,495,32:47.9
Anatomy and Physiology A (Sem2 16-17 Sec 01),AnPhA-S217-01,258997,52,7.4: Quiz,N,42:05.2,Qz,,10,0,10,32:47.9
Anatomy and Physiology A (Sem2 16-17 Sec 01),AnPhA-S217-01,258997,53,Unit 7 Assessment: Create Your Own Senses Experiment,N,00:11.6,Hw,,19.13,0,30,32:47.9
Anatomy and Physiology A (Sem2 16-17 Sec 01),AnPhA-S217-01,258997,54,8.1 - 8.3: Quiz,N,05:19.2,Qz,,6,0,10,32:47.9
Anatomy and Physiology A (Sem2 16-17 Sec 01),AnPhA-S217-01,258997,55,8.4: Negative Feedback Loops of the Endocrine Pancreas,N,23:08.0,Hw,,9.13,0,10,32:47.9
Anatomy and Physiology A (Sem2 16-17 Sec 01),AnPhA-S217-01,258997,56,8.5: Modeling Leptin and Obesity,N,39:15.2,Hw,,8.63,0,10,32:47.9
Anatomy and Physiology A (Sem2 16-17 Sec 01),AnPhA-S217-01,258997,57,Unit 8 Assessment: Test,N,18:15.0,Qz,,19,0,30,32:47.9
Anatomy and Physiology A (Sem2 16-17 Sec 01),AnPhA-S217-01,258997,58,Final Exam,N,50:35.2,,,22,0,30,32:47.9
Anatomy and Physiology A (Sem2 16-17 Sec 01),AnPhA-S217-01,258997,59,POINTS EARNED & TOTAL COURSE POINTS,T,NULL,,,515.72,0,625,32:47.9
Anatomy and Physiology A (Sem2 16-17 Sec 01),AnPhA-S217-01,260653,3,POINTS EARNED & TOTAL COURSE POINTS,T,NULL,,,59.5,0,625,44:40.3
Anatomy and Physiology A (Sem2 16-17 Sec 01),AnPhA-S217-01,260653,4,WORK ATTEMPTED,T,NULL,,,59.5,65,65,44:40.3
Anatomy and Physiology A (Sem2 16-17 Sec 01),AnPhA-S217-01,260653,9,0.1: Message Your Instructor,N,10:13.5,,,5,0,5,44:40.3
Anatomy and Physiology A (Sem2 16-17 Sec 01),AnPhA-S217-01,260653,10,0.2: Intro Assignment - Discussion Board,N,25:48.1,Hw,,2.5,0,5,44:40.3
Anatomy and Physiology A (Sem2 16-17 Sec 01),AnPhA-S217-01,260653,11,0.3: Intro Assignment - Submitting Files,N,23:01.7,Hw,,5,0,5,44:40.3
Anatomy and Physiology A (Sem2 16-17 Sec 01),AnPhA-S217-01,260653,12,1.1: Quiz,N,05:08.0,Qz,,10,0,10,44:40.3
Anatomy and Physiology A (Sem2 16-17 Sec 01),AnPhA-S217-01,260653,13,1.2: Quiz,N,16:26.7,Qz,,10,0,10,44:40.3
Anatomy and Physiology A (Sem2 16-17 Sec 01),AnPhA-S217-01,260653,14,1.3: Create a Living Creature,N,23:18.6,Hw,,10,0,10,44:40.3
Anatomy and Physiology A (Sem2 16-17 Sec 01),AnPhA-S217-01,260653,15,1.3: Create a Living Creature - Discussion Board,N,27:40.4,Hw,,7,0,10,44:40.3
Anatomy and Physiology A (Sem2 16-17 Sec 01),AnPhA-S217-01,260653,16,1.4: Negative Feedback Loop Flowchart,N,NULL,Hw,,NULL,0,10,44:40.3
Anatomy and Physiology A (Sem2 16-17 Sec 01),AnPhA-S217-01,260653,17,1.5: Quiz,N,15:39.7,Qz,,10,0,10,44:40.3
Anatomy and Physiology A (Sem2 16-17 Sec 01),AnPhA-S217-01,260653,18,Unit 1 Assessment: Pickle Autopsy Lab,N,NULL,Hw,,NULL,0,30,44:40.3
Anatomy and Physiology A (Sem2 16-17 Sec 01),AnPhA-S217-01,260653,19,PROGRESS CHECK 1 @ 02-16-17,P,NULL,,,59.5,105,105,44:40.3
Anatomy and Physiology A (Sem2 16-17 Sec 01),AnPhA-S217-01,260653,20,2.1: Types of Membranes,N,NULL,Hw,,NULL,0,10,44:40.3
Anatomy and Physiology A (Sem2 16-17 Sec 01),AnPhA-S217-01,260653,21,2.2 - 2.3: Quiz,N,NULL,Qz,,NULL,0,10,44:40.3
Anatomy and Physiology A (Sem2 16-17 Sec 01),AnPhA-S217-01,260653,22,2.4 - 2.5 Quiz,N,NULL,Qz,,NULL,0,10,44:40.3
Anatomy and Physiology A (Sem2 16-17 Sec 01),AnPhA-S217-01,260653,23,2.6: Quiz,N,NULL,Qz,,NULL,0,10,44:40.3
Anatomy and Physiology A (Sem2 16-17 Sec 01),AnPhA-S217-01,260653,24,Unit 2 Assessment: Test,N,NULL,Qz,,NULL,0,30,44:40.3
Anatomy and Physiology A (Sem2 16-17 Sec 01),AnPhA-S217-01,260653,25,3.1: Models of the Integumentary System,N,NULL,Hw,,NULL,0,10,44:40.3
Anatomy and Physiology A (Sem2 16-17 Sec 01),AnPhA-S217-01,260653,26,3.2 - 3.3: Quiz,N,NULL,Qz,,NULL,0,10,44:40.3
Anatomy and Physiology A (Sem2 16-17 Sec 01),AnPhA-S217-01,260653,27,3.4: Skin Twin - Discussion Board,N,NULL,Hw,,NULL,0,10,44:40.3
Anatomy and Physiology A (Sem2 16-17 Sec 01),AnPhA-S217-01,260653,28,Unit 3 Assessment: UV Exposure Lab,N,NULL,Hw,,NULL,0,30,44:40.3
Anatomy and Physiology A (Sem2 16-17 Sec 01),AnPhA-S217-01,260653,29,PROGRESS CHECK 2 @ 03-15-17,P,NULL,,,59.5,235,235,44:40.3
Anatomy and Physiology A (Sem2 16-17 Sec 01),AnPhA-S217-01,260653,30,4.2: Balloon Skull Lab,N,NULL,Hw,,NULL,0,10,44:40.3
Anatomy and Physiology A (Sem2 16-17 Sec 01),AnPhA-S217-01,260653,31,4.1 - 4.3: Quiz,N,NULL,Qz,,NULL,0,10,44:40.3
Anatomy and Physiology A (Sem2 16-17 Sec 01),AnPhA-S217-01,260653,32,4.4: Quiz,N,NULL,Qz,,NULL,0,10,44:40.3
Anatomy and Physiology A (Sem2 16-17 Sec 01),AnPhA-S217-01,260653,33,4.5: Muscle Movements in our Daily Life,N,NULL,Hw,,NULL,0,10,44:40.3
Anatomy and Physiology A (Sem2 16-17 Sec 01),AnPhA-S217-01,260653,34,4.6: Soda and Osteoporosis Research Writing,N,NULL,Hw,,NULL,0,10,44:40.3
Anatomy and Physiology A (Sem2 16-17 Sec 01),AnPhA-S217-01,260653,35,Unit 4 Assessment: Test,N,NULL,Qz,,NULL,0,30,44:40.3
Anatomy and Physiology A (Sem2 16-17 Sec 01),AnPhA-S217-01,260653,36,5.1: Quiz,N,NULL,Qz,,NULL,0,10,44:40.3
Anatomy and Physiology A (Sem2 16-17 Sec 01),AnPhA-S217-01,260653,37,5.4: Muscle Tissue Types Chart,N,NULL,Hw,,NULL,0,10,44:40.3
Anatomy and Physiology A (Sem2 16-17 Sec 01),AnPhA-S217-01,260653,38,5.2 - 5.4: Quiz,N,NULL,Qz,,NULL,0,10,44:40.3
Anatomy and Physiology A (Sem2 16-17 Sec 01),AnPhA-S217-01,260653,39,PROGRESS CHECK 3 @ 04-18-17,P,NULL,,,59.5,345,345,44:40.3
Anatomy and Physiology A (Sem2 16-17 Sec 01),AnPhA-S217-01,260653,40,5.5: Naming Skeletal Muscle - Discussion Board,N,NULL,Hw,,NULL,0,10,44:40.3
Anatomy and Physiology A (Sem2 16-17 Sec 01),AnPhA-S217-01,260653,41,5.6: Quiz,N,NULL,Qz,,NULL,0,10,44:40.3
Anatomy and Physiology A (Sem2 16-17 Sec 01),AnPhA-S217-01,260653,42,Unit 5 Assessment: Fitness Class Poster,N,NULL,Hw,,NULL,0,30,44:40.3
Anatomy and Physiology A (Sem2 16-17 Sec 01),AnPhA-S217-01,260653,43,6.1: Quiz,N,NULL,Qz,,NULL,0,10,44:40.3
Anatomy and Physiology A (Sem2 16-17 Sec 01),AnPhA-S217-01,260653,44,6.2: Helmet Law - Discussion Board,N,NULL,Hw,,NULL,0,10,44:40.3
Anatomy and Physiology A (Sem2 16-17 Sec 01),AnPhA-S217-01,260653,45,6.3 - 6.4: Quiz,N,NULL,Qz,,NULL,0,10,44:40.3
Anatomy and Physiology A (Sem2 16-17 Sec 01),AnPhA-S217-01,260653,46,6.5: Diagramming the Nervous System,N,NULL,Hw,,NULL,0,10,44:40.3
Anatomy and Physiology A (Sem2 16-17 Sec 01),AnPhA-S217-01,260653,47,Unit 6 Assessment: Test,N,NULL,Qz,,NULL,0,30,44:40.3
Anatomy and Physiology A (Sem2 16-17 Sec 01),AnPhA-S217-01,260653,48,7.1: Quiz,N,NULL,Qz,,NULL,0,10,44:40.3
Anatomy and Physiology A (Sem2 16-17 Sec 01),AnPhA-S217-01,260653,49,7.2: Virtual Eye Dissection,N,NULL,Hw,,NULL,0,10,44:40.3
Anatomy and Physiology A (Sem2 16-17 Sec 01),AnPhA-S217-01,260653,50,7.3: Anatomy and Physiology of Hearing Flow Chart,N,NULL,Hw,,NULL,0,10,44:40.3
Anatomy and Physiology A (Sem2 16-17 Sec 01),AnPhA-S217-01,260653,51,PROGRESS CHECK 4 @ 05-15-17,P,NULL,,,59.5,495,495,44:40.3
Anatomy and Physiology A (Sem2 16-17 Sec 01),AnPhA-S217-01,260653,52,7.4: Quiz,N,NULL,Qz,,NULL,0,10,44:40.3
Anatomy and Physiology A (Sem2 16-17 Sec 01),AnPhA-S217-01,260653,53,Unit 7 Assessment: Create Your Own Senses Experiment,N,NULL,Hw,,NULL,0,30,44:40.3
Anatomy and Physiology A (Sem2 16-17 Sec 01),AnPhA-S217-01,260653,54,8.1 - 8.3: Quiz,N,NULL,Qz,,NULL,0,10,44:40.3
Anatomy and Physiology A (Sem2 16-17 Sec 01),AnPhA-S217-01,260653,55,8.4: Negative Feedback Loops of the Endocrine Pancreas,N,NULL,Hw,,NULL,0,10,44:40.3
Anatomy and Physiology A (Sem2 16-17 Sec 01),AnPhA-S217-01,260653,56,8.5: Modeling Leptin and Obesity,N,NULL,Hw,,NULL,0,10,44:40.3
Anatomy and Physiology A (Sem2 16-17 Sec 01),AnPhA-S217-01,260653,57,Unit 8 Assessment: Test,N,NULL,Qz,,NULL,0,30,44:40.3
Anatomy and Physiology A (Sem2 16-17 Sec 01),AnPhA-S217-01,260653,58,Final Exam,N,NULL,,,NULL,0,30,44:40.3
Anatomy and Physiology A (Sem2 16-17 Sec 01),AnPhA-S217-01,260653,59,POINTS EARNED & TOTAL COURSE POINTS,T,NULL,,,59.5,0,625,44:40.3
Anatomy and Physiology A (Sem2 16-17 Sec 01),AnPhA-S217-01,257986,3,POINTS EARNED & TOTAL COURSE POINTS,T,NULL,,,164.255,0,625,35:53.5
Anatomy and Physiology A (Sem2 16-17 Sec 01),AnPhA-S217-01,257986,4,WORK ATTEMPTED,T,NULL,,,164.255,205,205,35:53.5
Anatomy and Physiology A (Sem2 16-17 Sec 01),AnPhA-S217-01,257986,9,0.1: Message Your Instructor,N,11:20.9,,,5,0,5,35:53.5
Anatomy and Physiology A (Sem2 16-17 Sec 01),AnPhA-S217-01,257986,10,0.2: Intro Assignment - Discussion Board,N,55:51.4,Hw,,5,0,5,35:53.5
Anatomy and Physiology A (Sem2 16-17 Sec 01),AnPhA-S217-01,257986,11,0.3: Intro Assignment - Submitting Files,N,11:11.6,Hw,,5,0,5,35:53.5
