Extraction Date:,6/12/2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Updated:,2/12/2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Revised:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Year,State Name,SEA Education Environment,SEA Disability Category,American Indian or Alaska Native Age 3 to 5 ,Asian Age 3-5 ,Black or African American Age 3-5 ,Hispanic/Latino Age 3-5 ,Native Hawaiian or Other Pacific Islander Age 3-5 ,Two or More Races Age 3-5 ,White Age 3-5 ,Female Age 3 to 5,Male Age 3 to 5,LEP Yes Age 3 to 5,LEP No Age 3 to 5,Age 3 to 5,Age 6-11,Age 12-17,Age 18-21,Ages 6-21,LEP Yes Age 6 to 21,LEP No Age 6 to 21,Female Age 6 to 21,Male Age 6 to 21,American Indian or Alaska Native Age 6 to21,Asian Age 6 to21,Black or African American Age 6 to21,Hispanic/Latino Age 6 to21,Native Hawaiian or Other Pacific Islander Age 6 to21,Two or more races Age 6 to21,White Age 6 to21
2012,ALABAMA,Separate Class,All Disabilities,1,6,101,20,0,7,209,118,226,1,343,344,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2012,ALABAMA,"Separate School, Age 3-5",All Disabilities,0,2,37,4,0,0,57,30,70,1,99,100,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2012,ALABAMA,"Separate School, Age 6-21",All Disabilities,-,-,-,-,-,-,-,-,-,-,-,-,297,481,155,933,9,924,285,648,1,10,462,27,0,7,426
2012,ALABAMA,Service Provider Location,All Disabilities,1,4,148,37,0,12,572,246,528,4,770,774,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2012,ALABAMA,Services Regular Early Childhood Program (at least 10 Hours),All Disabilities,12,36,985,112,2,76,1888,944,2167,27,3084,3111,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2012,ALABAMA,Services Regular Early Childhood Program (less than 10 Hours),All Disabilities,1,6,147,30,0,11,343,167,371,5,533,538,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2012,ALABAMA,"Total, Age 3-5",All Disabilities,24,79,2179,292,3,146,4621,2228,5116,60,7284,7344,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2012,ALABAMA,"Total, Age 6-21",All Disabilities,-,-,-,-,-,-,-,-,-,-,-,-,33327,34182,4852,72361,0,70785,23649,48712,513,376,28811,2358,25,650,39628
2012,ALABAMA,Correctional Facilities,Autism,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-
2012,ALABAMA,Home,Autism,-,-,-,-,-,-,-,-,-,-,-,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2012,ALABAMA,Homebound/Hospital,Autism,-,-,-,-,-,-,-,-,-,-,-,-,5,7,2,14,-,-,-,-,-,-,-,-,-,-,-
2012,ALABAMA,Inside regular class 40% through 79% of day,Autism,-,-,-,-,-,-,-,-,-,-,-,-,333,294,35,662,-,-,-,-,-,-,-,-,-,-,-
2012,ALABAMA,Inside regular class 80% or more of the day,Autism,-,-,-,-,-,-,-,-,-,-,-,-,1537,1317,74,2928,-,-,-,-,-,-,-,-,-,-,-
2012,ALABAMA,Inside regular class less than 40% of day,Autism,-,-,-,-,-,-,-,-,-,-,-,-,518,445,143,1106,-,-,-,-,-,-,-,-,-,-,-
2012,ALABAMA,Other Location Regular Early Childhood Program (at least 10 Hours),Autism,-,-,-,-,-,-,-,-,-,-,-,67,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2012,ALABAMA,Other Location Regular Early Childhood Program (less than 10 Hours),Autism,-,-,-,-,-,-,-,-,-,-,-,26,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2012,ALABAMA,Parentally Placed in Private Schools,Autism,-,-,-,-,-,-,-,-,-,-,-,-,14,8,0,22,-,-,-,-,-,-,-,-,-,-,-
2012,ALABAMA,"Residential Facility, Age 3-5",Autism,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2012,ALABAMA,"Residential Facility, Age 6-21",Autism,-,-,-,-,-,-,-,-,-,-,-,-,5,40,20,65,-,-,-,-,-,-,-,-,-,-,-
2012,ALABAMA,Separate Class,Autism,-,-,-,-,-,-,-,-,-,-,-,41,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2012,ALABAMA,"Separate School, Age 3-5",Autism,-,-,-,-,-,-,-,-,-,-,-,16,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2012,ALABAMA,"Separate School, Age 6-21",Autism,-,-,-,-,-,-,-,-,-,-,-,-,39,53,26,118,-,-,-,-,-,-,-,-,-,-,-
2012,ALABAMA,Service Provider Location,Autism,-,-,-,-,-,-,-,-,-,-,-,18,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2012,ALABAMA,Services Regular Early Childhood Program (at least 10 Hours),Autism,-,-,-,-,-,-,-,-,-,-,-,253,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2012,ALABAMA,Services Regular Early Childhood Program (less than 10 Hours),Autism,-,-,-,-,-,-,-,-,-,-,-,36,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2012,ALABAMA,"Total, Age 3-5",Autism,0,6,124,19,0,13,299,-,-,-,-,461,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2012,ALABAMA,"Total, Age 6-21",Autism,-,-,-,-,-,-,-,-,-,-,-,-,2451,2164,300,4915,-,-,-,-,30,50,1455,119,4,50,3207
2012,ALABAMA,Correctional Facilities,Deaf-blindness,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-
2012,ALABAMA,Home,Deaf-blindness,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2012,ALABAMA,Homebound/Hospital,Deaf-blindness,-,-,-,-,-,-,-,-,-,-,-,-,1,1,0,2,-,-,-,-,-,-,-,-,-,-,-
2012,ALABAMA,Inside regular class 40% through 79% of day,Deaf-blindness,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-
2012,ALABAMA,Inside regular class 80% or more of the day,Deaf-blindness,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-
2012,ALABAMA,Inside regular class less than 40% of day,Deaf-blindness,-,-,-,-,-,-,-,-,-,-,-,-,1,1,0,2,-,-,-,-,-,-,-,-,-,-,-
2012,ALABAMA,Other Location Regular Early Childhood Program (at least 10 Hours),Deaf-blindness,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2012,ALABAMA,Other Location Regular Early Childhood Program (less than 10 Hours),Deaf-blindness,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2012,ALABAMA,Parentally Placed in Private Schools,Deaf-blindness,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-
2012,ALABAMA,"Residential Facility, Age 3-5",Deaf-blindness,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2012,ALABAMA,"Residential Facility, Age 6-21",Deaf-blindness,-,-,-,-,-,-,-,-,-,-,-,-,1,2,1,4,-,-,-,-,-,-,-,-,-,-,-
2012,ALABAMA,Separate Class,Deaf-blindness,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2012,ALABAMA,"Separate School, Age 3-5",Deaf-blindness,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2012,ALABAMA,"Separate School, Age 6-21",Deaf-blindness,-,-,-,-,-,-,-,-,-,-,-,-,0,1,0,1,-,-,-,-,-,-,-,-,-,-,-
2012,ALABAMA,Service Provider Location,Deaf-blindness,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2012,ALABAMA,Services Regular Early Childhood Program (at least 10 Hours),Deaf-blindness,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2012,ALABAMA,Services Regular Early Childhood Program (less than 10 Hours),Deaf-blindness,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2012,ALABAMA,"Total, Age 3-5",Deaf-blindness,0,0,0,0,0,0,0,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2012,ALABAMA,"Total, Age 6-21",Deaf-blindness,-,-,-,-,-,-,-,-,-,-,-,-,3,5,1,9,-,-,-,-,0,0,1,0,0,0,8
2012,ALABAMA,Correctional Facilities,Developmental delay (valid only for children ages 3-9 when defined by state),-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-
2012,ALABAMA,Home,Developmental delay (valid only for children ages 3-9 when defined by state),-,-,-,-,-,-,-,-,-,-,-,62,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2012,ALABAMA,Homebound/Hospital,Developmental delay (valid only for children ages 3-9 when defined by state),-,-,-,-,-,-,-,-,-,-,-,-,10,0,0,10,-,-,-,-,-,-,-,-,-,-,-
2012,ALABAMA,Inside regular class 40% through 79% of day,Developmental delay (valid only for children ages 3-9 when defined by state),-,-,-,-,-,-,-,-,-,-,-,-,291,0,0,291,-,-,-,-,-,-,-,-,-,-,-
2012,ALABAMA,Inside regular class 80% or more of the day,Developmental delay (valid only for children ages 3-9 when defined by state),-,-,-,-,-,-,-,-,-,-,-,-,2091,0,0,2091,-,-,-,-,-,-,-,-,-,-,-
2012,ALABAMA,Inside regular class less than 40% of day,Developmental delay (valid only for children ages 3-9 when defined by state),-,-,-,-,-,-,-,-,-,-,-,-,374,0,0,374,-,-,-,-,-,-,-,-,-,-,-
2012,ALABAMA,Other Location Regular Early Childhood Program (at least 10 Hours),Developmental delay (valid only for children ages 3-9 when defined by state),-,-,-,-,-,-,-,-,-,-,-,372,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2012,ALABAMA,Other Location Regular Early Childhood Program (less than 10 Hours),Developmental delay (valid only for children ages 3-9 when defined by state),-,-,-,-,-,-,-,-,-,-,-,87,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2012,ALABAMA,Parentally Placed in Private Schools,Developmental delay (valid only for children ages 3-9 when defined by state),-,-,-,-,-,-,-,-,-,-,-,-,3,0,0,3,-,-,-,-,-,-,-,-,-,-,-
2012,ALABAMA,"Residential Facility, Age 3-5",Developmental delay (valid only for children ages 3-9 when defined by state),-,-,-,-,-,-,-,-,-,-,-,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2012,ALABAMA,"Residential Facility, Age 6-21",Developmental delay (valid only for children ages 3-9 when defined by state),-,-,-,-,-,-,-,-,-,-,-,-,5,0,0,5,-,-,-,-,-,-,-,-,-,-,-
2012,ALABAMA,Separate Class,Developmental delay (valid only for children ages 3-9 when defined by state),-,-,-,-,-,-,-,-,-,-,-,198,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2012,ALABAMA,"Separate School, Age 3-5",Developmental delay (valid only for children ages 3-9 when defined by state),-,-,-,-,-,-,-,-,-,-,-,44,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2012,ALABAMA,"Separate School, Age 6-21",Developmental delay (valid only for children ages 3-9 when defined by state),-,-,-,-,-,-,-,-,-,-,-,-,30,0,0,30,-,-,-,-,-,-,-,-,-,-,-
2012,ALABAMA,Service Provider Location,Developmental delay (valid only for children ages 3-9 when defined by state),-,-,-,-,-,-,-,-,-,-,-,120,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2012,ALABAMA,Services Regular Early Childhood Program (at least 10 Hours),Developmental delay (valid only for children ages 3-9 when defined by state),-,-,-,-,-,-,-,-,-,-,-,1267,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2012,ALABAMA,Services Regular Early Childhood Program (less than 10 Hours),Developmental delay (valid only for children ages 3-9 when defined by state),-,-,-,-,-,-,-,-,-,-,-,271,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2012,ALABAMA,"Total, Age 3-5",Developmental delay (valid only for children ages 3-9 when defined by state),7,37,874,127,2,46,1332,-,-,-,-,2425,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2012,ALABAMA,"Total, Age 6-21",Developmental delay (valid only for children ages 3-9 when defined by state),-,-,-,-,-,-,-,-,-,-,-,-,2804,-,-,2804,-,-,-,-,11,23,1158,142,1,50,1419
2012,ALABAMA,Correctional Facilities,Emotional disturbance,-,-,-,-,-,-,-,-,-,-,-,-,0,1,4,5,-,-,-,-,-,-,-,-,-,-,-
2012,ALABAMA,Home,Emotional disturbance,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2012,ALABAMA,Homebound/Hospital,Emotional disturbance,-,-,-,-,-,-,-,-,-,-,-,-,3,15,1,19,-,-,-,-,-,-,-,-,-,-,-
2012,ALABAMA,Inside regular class 40% through 79% of day,Emotional disturbance,-,-,-,-,-,-,-,-,-,-,-,-,35,56,14,105,-,-,-,-,-,-,-,-,-,-,-
2012,ALABAMA,Inside regular class 80% or more of the day,Emotional disturbance,-,-,-,-,-,-,-,-,-,-,-,-,264,604,43,911,-,-,-,-,-,-,-,-,-,-,-
2012,ALABAMA,Inside regular class less than 40% of day,Emotional disturbance,-,-,-,-,-,-,-,-,-,-,-,-,26,54,10,90,-,-,-,-,-,-,-,-,-,-,-
2012,ALABAMA,Other Location Regular Early Childhood Program (at least 10 Hours),Emotional disturbance,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2012,ALABAMA,Other Location Regular Early Childhood Program (less than 10 Hours),Emotional disturbance,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2012,ALABAMA,Parentally Placed in Private Schools,Emotional disturbance,-,-,-,-,-,-,-,-,-,-,-,-,0,1,0,1,-,-,-,-,-,-,-,-,-,-,-
2012,ALABAMA,"Residential Facility, Age 3-5",Emotional disturbance,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2012,ALABAMA,"Residential Facility, Age 6-21",Emotional disturbance,-,-,-,-,-,-,-,-,-,-,-,-,22,90,7,119,-,-,-,-,-,-,-,-,-,-,-
2012,ALABAMA,Separate Class,Emotional disturbance,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2012,ALABAMA,"Separate School, Age 3-5",Emotional disturbance,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2012,ALABAMA,"Separate School, Age 6-21",Emotional disturbance,-,-,-,-,-,-,-,-,-,-,-,-,28,43,1,72,-,-,-,-,-,-,-,-,-,-,-
2012,ALABAMA,Service Provider Location,Emotional disturbance,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2012,ALABAMA,Services Regular Early Childhood Program (at least 10 Hours),Emotional disturbance,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2012,ALABAMA,Services Regular Early Childhood Program (less than 10 Hours),Emotional disturbance,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2012,ALABAMA,"Total, Age 3-5",Emotional disturbance,0,0,1,0,0,0,0,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2012,ALABAMA,"Total, Age 6-21",Emotional disturbance,-,-,-,-,-,-,-,-,-,-,-,-,378,864,80,1322,-,-,-,-,3,0,484,14,0,22,799
2012,ALABAMA,Correctional Facilities,Hearing impairment,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-
2012,ALABAMA,Home,Hearing impairment,-,-,-,-,-,-,-,-,-,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2012,ALABAMA,Homebound/Hospital,Hearing impairment,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-
2012,ALABAMA,Inside regular class 40% through 79% of day,Hearing impairment,-,-,-,-,-,-,-,-,-,-,-,-,20,24,1,45,-,-,-,-,-,-,-,-,-,-,-
2012,ALABAMA,Inside regular class 80% or more of the day,Hearing impairment,-,-,-,-,-,-,-,-,-,-,-,-,256,330,37,623,-,-,-,-,-,-,-,-,-,-,-
2012,ALABAMA,Inside regular class less than 40% of day,Hearing impairment,-,-,-,-,-,-,-,-,-,-,-,-,26,19,3,48,-,-,-,-,-,-,-,-,-,-,-
2012,ALABAMA,Other Location Regular Early Childhood Program (at least 10 Hours),Hearing impairment,-,-,-,-,-,-,-,-,-,-,-,17,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2012,ALABAMA,Other Location Regular Early Childhood Program (less than 10 Hours),Hearing impairment,-,-,-,-,-,-,-,-,-,-,-,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2012,ALABAMA,Parentally Placed in Private Schools,Hearing impairment,-,-,-,-,-,-,-,-,-,-,-,-,2,0,0,2,-,-,-,-,-,-,-,-,-,-,-
2012,ALABAMA,"Residential Facility, Age 3-5",Hearing impairment,-,-,-,-,-,-,-,-,-,-,-,7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2012,ALABAMA,"Residential Facility, Age 6-21",Hearing impairment,-,-,-,-,-,-,-,-,-,-,-,-,24,65,35,124,-,-,-,-,-,-,-,-,-,-,-
2012,ALABAMA,Separate Class,Hearing impairment,-,-,-,-,-,-,-,-,-,-,-,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2012,ALABAMA,"Separate School, Age 3-5",Hearing impairment,-,-,-,-,-,-,-,-,-,-,-,24,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2012,ALABAMA,"Separate School, Age 6-21",Hearing impairment,-,-,-,-,-,-,-,-,-,-,-,-,15,12,0,27,-,-,-,-,-,-,-,-,-,-,-
2012,ALABAMA,Service Provider Location,Hearing impairment,-,-,-,-,-,-,-,-,-,-,-,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2012,ALABAMA,Services Regular Early Childhood Program (at least 10 Hours),Hearing impairment,-,-,-,-,-,-,-,-,-,-,-,40,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2012,ALABAMA,Services Regular Early Childhood Program (less than 10 Hours),Hearing impairment,-,-,-,-,-,-,-,-,-,-,-,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2012,ALABAMA,"Total, Age 3-5",Hearing impairment,0,3,26,6,0,3,78,-,-,-,-,116,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2012,ALABAMA,"Total, Age 6-21",Hearing impairment,-,-,-,-,-,-,-,-,-,-,-,-,343,450,76,869,-,-,-,-,7,15,309,48,0,8,482
2012,ALABAMA,Correctional Facilities,Intellectual disability,-,-,-,-,-,-,-,-,-,-,-,-,0,0,4,4,-,-,-,-,-,-,-,-,-,-,-
2012,ALABAMA,Home,Intellectual disability,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2012,ALABAMA,Homebound/Hospital,Intellectual disability,-,-,-,-,-,-,-,-,-,-,-,-,4,3,6,13,-,-,-,-,-,-,-,-,-,-,-
2012,ALABAMA,Inside regular class 40% through 79% of day,Intellectual disability,-,-,-,-,-,-,-,-,-,-,-,-,375,708,158,1241,-,-,-,-,-,-,-,-,-,-,-
2012,ALABAMA,Inside regular class 80% or more of the day,Intellectual disability,-,-,-,-,-,-,-,-,-,-,-,-,925,1552,224,2701,-,-,-,-,-,-,-,-,-,-,-
2012,ALABAMA,Inside regular class less than 40% of day,Intellectual disability,-,-,-,-,-,-,-,-,-,-,-,-,474,909,343,1726,-,-,-,-,-,-,-,-,-,-,-
2012,ALABAMA,Other Location Regular Early Childhood Program (at least 10 Hours),Intellectual disability,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2012,ALABAMA,Other Location Regular Early Childhood Program (less than 10 Hours),Intellectual disability,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2012,ALABAMA,Parentally Placed in Private Schools,Intellectual disability,-,-,-,-,-,-,-,-,-,-,-,-,2,4,0,6,-,-,-,-,-,-,-,-,-,-,-
2012,ALABAMA,"Residential Facility, Age 3-5",Intellectual disability,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2012,ALABAMA,"Residential Facility, Age 6-21",Intellectual disability,-,-,-,-,-,-,-,-,-,-,-,-,2,38,22,62,-,-,-,-,-,-,-,-,-,-,-
2012,ALABAMA,Separate Class,Intellectual disability,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2012,ALABAMA,"Separate School, Age 3-5",Intellectual disability,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2012,ALABAMA,"Separate School, Age 6-21",Intellectual disability,-,-,-,-,-,-,-,-,-,-,-,-,38,86,65,189,-,-,-,-,-,-,-,-,-,-,-
2012,ALABAMA,Service Provider Location,Intellectual disability,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2012,ALABAMA,Services Regular Early Childhood Program (at least 10 Hours),Intellectual disability,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2012,ALABAMA,Services Regular Early Childhood Program (less than 10 Hours),Intellectual disability,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2012,ALABAMA,"Total, Age 3-5",Intellectual disability,0,0,1,0,0,0,3,-,-,-,-,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2012,ALABAMA,"Total, Age 6-21",Intellectual disability,-,-,-,-,-,-,-,-,-,-,-,-,1820,3300,822,5942,-,-,-,-,37,28,3019,143,1,25,2689
2012,ALABAMA,Correctional Facilities,Multiple disabilities,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-
2012,ALABAMA,Home,Multiple disabilities,-,-,-,-,-,-,-,-,-,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2012,ALABAMA,Homebound/Hospital,Multiple disabilities,-,-,-,-,-,-,-,-,-,-,-,-,15,30,7,52,-,-,-,-,-,-,-,-,-,-,-
2012,ALABAMA,Inside regular class 40% through 79% of day,Multiple disabilities,-,-,-,-,-,-,-,-,-,-,-,-,51,78,20,149,-,-,-,-,-,-,-,-,-,-,-
2012,ALABAMA,Inside regular class 80% or more of the day,Multiple disabilities,-,-,-,-,-,-,-,-,-,-,-,-,49,60,5,114,-,-,-,-,-,-,-,-,-,-,-
2012,ALABAMA,Inside regular class less than 40% of day,Multiple disabilities,-,-,-,-,-,-,-,-,-,-,-,-,231,330,135,696,-,-,-,-,-,-,-,-,-,-,-
2012,ALABAMA,Other Location Regular Early Childhood Program (at least 10 Hours),Multiple disabilities,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2012,ALABAMA,Other Location Regular Early Childhood Program (less than 10 Hours),Multiple disabilities,-,-,-,-,-,-,-,-,-,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2012,ALABAMA,Parentally Placed in Private Schools,Multiple disabilities,-,-,-,-,-,-,-,-,-,-,-,-,0,2,0,2,-,-,-,-,-,-,-,-,-,-,-
2012,ALABAMA,"Residential Facility, Age 3-5",Multiple disabilities,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2012,ALABAMA,"Residential Facility, Age 6-21",Multiple disabilities,-,-,-,-,-,-,-,-,-,-,-,-,27,48,26,101,-,-,-,-,-,-,-,-,-,-,-
2012,ALABAMA,Separate Class,Multiple disabilities,-,-,-,-,-,-,-,-,-,-,-,7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
