FIELD,MA DOE REPORT,ORIGINAL FIELD NAME,YEAR
MCAS_5thGrade_Math_A #,MCAS Achievement Results (grade 5 English),A #,2016
% MCAS_5thGrade_Math_A,MCAS Achievement Results (grade 5 English),A %,2016
MCAS_5thGrade_Math_P #,MCAS Achievement Results (grade 5 English),P #,2016
% MCAS_5thGrade_Math_P,MCAS Achievement Results (grade 5 English),P %,2016
MCAS_5thGrade_Math_NI #,MCAS Achievement Results (grade 5 English),NI #,2016
% MCAS_5thGrade_Math_NI,MCAS Achievement Results (grade 5 English),NI %,2016
MCAS_5thGrade_Math_W/F #,MCAS Achievement Results (grade 5 English),W/F #,2016
% MCAS_5thGrade_Math_W/F,MCAS Achievement Results (grade 5 English),W/F %,2016
MCAS_5thGrade_Math_Stud. Incl. #,MCAS Achievement Results (grade 5 English),Stud. Incl. #,2016
MCAS_5thGrade_Math_CPI,MCAS Achievement Results (grade 5 English),CPI,2016
MCAS_5thGrade_Math_SGP,MCAS Achievement Results (grade 5 English),SGP,2016
MCAS_5thGrade_Math_Incl. in SGP(#),MCAS Achievement Results (grade 5 English),Incl. in SGP(#),2016
MCAS_6thGrade_Math_P+A #,MCAS Achievement Results (grade 6 English),P+A #,2016
% MCAS_6thGrade_Math_P+A,MCAS Achievement Results (grade 6 English),P+A %,2016
MCAS_6thGrade_Math_A #,MCAS Achievement Results (grade 6 English),A #,2016
% MCAS_6thGrade_Math_A,MCAS Achievement Results (grade 6 English),A %,2016
MCAS_6thGrade_Math_P #,MCAS Achievement Results (grade 6 English),P #,2016
% MCAS_6thGrade_Math_P,MCAS Achievement Results (grade 6 English),P %,2016
MCAS_6thGrade_Math_NI #,MCAS Achievement Results (grade 6 English),NI #,2016
% MCAS_6thGrade_Math_NI,MCAS Achievement Results (grade 6 English),NI %,2016
MCAS_6thGrade_Math_W/F #,MCAS Achievement Results (grade 6 English),W/F #,2016
% MCAS_6thGrade_Math_W/F,MCAS Achievement Results (grade 6 English),W/F %,2016
MCAS_6thGrade_Math_Stud. Incl. #,MCAS Achievement Results (grade 6 English),Stud. Incl. #,2016
MCAS_6thGrade_Math_CPI,MCAS Achievement Results (grade 6 English),CPI,2016
MCAS_6thGrade_Math_SGP,MCAS Achievement Results (grade 6 English),SGP,2016
MCAS_6thGrade_Math_Incl. in SGP(#),MCAS Achievement Results (grade 6 English),Incl. in SGP(#),2016
MCAS_7thGrade_Math_P+A #,MCAS Achievement Results (grade 7 English),P+A #,2016
% MCAS_7thGrade_Math_P+A,MCAS Achievement Results (grade 7 English),P+A %,2016
MCAS_7thGrade_Math_A #,MCAS Achievement Results (grade 7 English),A #,2016
% MCAS_7thGrade_Math_A,MCAS Achievement Results (grade 7 English),A %,2016
MCAS_7thGrade_Math_P #,MCAS Achievement Results (grade 7 English),P #,2016
% MCAS_7thGrade_Math_P,MCAS Achievement Results (grade 7 English),P %,2016
MCAS_7thGrade_Math_NI #,MCAS Achievement Results (grade 7 English),NI #,2016
% MCAS_7thGrade_Math_NI,MCAS Achievement Results (grade 7 English),NI %,2016
MCAS_7thGrade_Math_W/F #,MCAS Achievement Results (grade 7 English),W/F #,2016
% MCAS_7thGrade_Math_W/F,MCAS Achievement Results (grade 7 English),W/F %,2016
MCAS_7thGrade_Math_Stud. Incl. #,MCAS Achievement Results (grade 7 English),Stud. Incl. #,2016
MCAS_7thGrade_Math_CPI,MCAS Achievement Results (grade 7 English),CPI,2016
MCAS_7thGrade_Math_SGP,MCAS Achievement Results (grade 7 English),SGP,2016
MCAS_7thGrade_Math_Incl. in SGP(#),MCAS Achievement Results (grade 7 English),Incl. in SGP(#),2016
MCAS_8thGrade_Math_P+A #,MCAS Achievement Results (grade 8 English),P+A #,2016
% MCAS_8thGrade_Math_P+A,MCAS Achievement Results (grade 8 English),P+A %,2016
MCAS_8thGrade_Math_A #,MCAS Achievement Results (grade 8 English),A #,2016
% MCAS_8thGrade_Math_A,MCAS Achievement Results (grade 8 English),A %,2016
MCAS_8thGrade_Math_P #,MCAS Achievement Results (grade 8 English),P #,2016
% MCAS_8thGrade_Math_P,MCAS Achievement Results (grade 8 English),P %,2016
MCAS_8thGrade_Math_NI #,MCAS Achievement Results (grade 8 English),NI #,2016
% MCAS_8thGrade_Math_NI,MCAS Achievement Results (grade 8 English),NI %,2016
MCAS_8thGrade_Math_W/F #,MCAS Achievement Results (grade 8 English),W/F #,2016
% MCAS_8thGrade_Math_W/F,MCAS Achievement Results (grade 8 English),W/F %,2016
MCAS_8thGrade_Math_Stud. Incl. #,MCAS Achievement Results (grade 8 English),Stud. Incl. #,2016
MCAS_8thGrade_Math_CPI,MCAS Achievement Results (grade 8 English),CPI,2016
MCAS_8thGrade_Math_SGP,MCAS Achievement Results (grade 8 English),SGP,2016
MCAS_8thGrade_Math_Incl. in SGP(#),MCAS Achievement Results (grade 8 English),Incl. in SGP(#),2016
MCAS_10thGrade_Math_P+A #,MCAS Achievement Results (grade 10 English),P+A #,2016
% MCAS_10thGrade_Math_P+A,MCAS Achievement Results (grade 10 English),P+A %,2016
MCAS_10thGrade_Math_A #,MCAS Achievement Results (grade 10 English),A #,2016
% MCAS_10thGrade_Math_A,MCAS Achievement Results (grade 10 English),A %,2016
MCAS_10thGrade_Math_P #,MCAS Achievement Results (grade 10 English),P #,2016
% MCAS_10thGrade_Math_P,MCAS Achievement Results (grade 10 English),P %,2016
MCAS_10thGrade_Math_NI #,MCAS Achievement Results (grade 10 English),NI #,2016
% MCAS_10thGrade_Math_NI,MCAS Achievement Results (grade 10 English),NI %,2016
MCAS_10thGrade_Math_W/F #,MCAS Achievement Results (grade 10 English),W/F #,2016
% MCAS_10thGrade_Math_W/F,MCAS Achievement Results (grade 10 English),W/F %,2016
MCAS_10thGrade_Math_Stud. Incl. #,MCAS Achievement Results (grade 10 English),Stud. Incl. #,2016
MCAS_10thGrade_Math_CPI,MCAS Achievement Results (grade 10 English),CPI,2016
MCAS_10thGrade_Math_SGP,MCAS Achievement Results (grade 10 English),SGP,2016
MCAS_10thGrade_Math_Incl. in SGP(#),MCAS Achievement Results (grade 10 English),Incl. in SGP(#),2016
MCAS_3rdGrade_English_P+A #,MCAS Achievement Results (grade 3 Math),P+A #,2016
% MCAS_3rdGrade_English_P+A,MCAS Achievement Results (grade 3 Math),P+A %,2016
MCAS_3rdGrade_English_A #,MCAS Achievement Results (grade 3 Math),A #,2016
% MCAS_3rdGrade_English_A,MCAS Achievement Results (grade 3 Math),A %,2016
MCAS_3rdGrade_English_P #,MCAS Achievement Results (grade 3 Math),P #,2016
% MCAS_3rdGrade_English_P,MCAS Achievement Results (grade 3 Math),P %,2016
MCAS_3rdGrade_English_NI #,MCAS Achievement Results (grade 3 Math),NI #,2016
% MCAS_3rdGrade_English_NI,MCAS Achievement Results (grade 3 Math),NI %,2016
MCAS_3rdGrade_English_W/F #,MCAS Achievement Results (grade 3 Math),W/F #,2016
% MCAS_3rdGrade_English_W/F,MCAS Achievement Results (grade 3 Math),W/F %,2016
MCAS_3rdGrade_English_Stud. Incl. #,MCAS Achievement Results (grade 3 Math),Stud. Incl. #,2016
MCAS_3rdGrade_English_CPI,MCAS Achievement Results (grade 3 Math),CPI,2016
MCAS_3rdGrade_English_SGP,MCAS Achievement Results (grade 3 Math),SGP,2016
MCAS_3rdGrade_English_Incl. in SGP(#),MCAS Achievement Results (grade 3 Math),Incl. in SGP(#),2016
MCAS_4thGrade_English_P+A #,MCAS Achievement Results (grade 4 Math),P+A #,2016
% MCAS_4thGrade_English_P+A,MCAS Achievement Results (grade 4 Math),P+A %,2016
MCAS_4thGrade_English_A #,MCAS Achievement Results (grade 4 Math),A #,2016
% MCAS_4thGrade_English_A,MCAS Achievement Results (grade 4 Math),A %,2016
MCAS_4thGrade_English_P #,MCAS Achievement Results (grade 4 Math),P #,2016
% MCAS_4thGrade_English_P,MCAS Achievement Results (grade 4 Math),P %,2016
MCAS_4thGrade_English_NI #,MCAS Achievement Results (grade 4 Math),NI #,2016
% MCAS_4thGrade_English_NI,MCAS Achievement Results (grade 4 Math),NI %,2016
MCAS_4thGrade_English_W/F #,MCAS Achievement Results (grade 4 Math),W/F #,2016
% MCAS_4thGrade_English_W/F,MCAS Achievement Results (grade 4 Math),W/F %,2016
MCAS_4thGrade_English_Stud. Incl. #,MCAS Achievement Results (grade 4 Math),Stud. Incl. #,2016
MCAS_4thGrade_English_CPI,MCAS Achievement Results (grade 4 Math),CPI,2016
MCAS_4thGrade_English_SGP,MCAS Achievement Results (grade 4 Math),SGP,2016
MCAS_4thGrade_English_Incl. in SGP(#),MCAS Achievement Results (grade 4 Math),Incl. in SGP(#),2016
MCAS_5thGrade_English_P+A #,MCAS Achievement Results (grade 5 Math),P+A #,2016
% MCAS_5thGrade_English_P+A,MCAS Achievement Results (grade 5 Math),P+A %,2016
MCAS_5thGrade_English_A #,MCAS Achievement Results (grade 5 Math),A #,2016
% MCAS_5thGrade_English_A,MCAS Achievement Results (grade 5 Math),A %,2016
MCAS_5thGrade_English_P #,MCAS Achievement Results (grade 5 Math),P #,2016
% MCAS_5thGrade_English_P,MCAS Achievement Results (grade 5 Math),P %,2016
MCAS_5thGrade_English_NI #,MCAS Achievement Results (grade 5 Math),NI #,2016
% MCAS_5thGrade_English_NI,MCAS Achievement Results (grade 5 Math),NI %,2016
MCAS_5thGrade_English_W/F #,MCAS Achievement Results (grade 5 Math),W/F #,2016
% MCAS_5thGrade_English_W/F,MCAS Achievement Results (grade 5 Math),W/F %,2016
MCAS_5thGrade_English_Stud. Incl. #,MCAS Achievement Results (grade 5 Math),Stud. Incl. #,2016
MCAS_5thGrade_English_CPI,MCAS Achievement Results (grade 5 Math),CPI,2016
MCAS_5thGrade_English_SGP,MCAS Achievement Results (grade 5 Math),SGP,2016
MCAS_5thGrade_English_Incl. in SGP(#),MCAS Achievement Results (grade 5 Math),Incl. in SGP(#),2016
MCAS_6thGrade_English_P+A #,MCAS Achievement Results (grade 6 Math),P+A #,2016
% MCAS_6thGrade_English_P+A,MCAS Achievement Results (grade 6 Math),P+A %,2016
MCAS_6thGrade_English_A #,MCAS Achievement Results (grade 6 Math),A #,2016
% MCAS_6thGrade_English_A,MCAS Achievement Results (grade 6 Math),A %,2016
MCAS_6thGrade_English_P #,MCAS Achievement Results (grade 6 Math),P #,2016
% MCAS_6thGrade_English_P,MCAS Achievement Results (grade 6 Math),P %,2016
MCAS_6thGrade_English_NI #,MCAS Achievement Results (grade 6 Math),NI #,2016
% MCAS_6thGrade_English_NI,MCAS Achievement Results (grade 6 Math),NI %,2016
MCAS_6thGrade_English_W/F #,MCAS Achievement Results (grade 6 Math),W/F #,2016
% MCAS_6thGrade_English_W/F,MCAS Achievement Results (grade 6 Math),W/F %,2016
MCAS_6thGrade_English_Stud. Incl. #,MCAS Achievement Results (grade 6 Math),Stud. Incl. #,2016
MCAS_6thGrade_English_CPI,MCAS Achievement Results (grade 6 Math),CPI,2016
MCAS_6thGrade_English_SGP,MCAS Achievement Results (grade 6 Math),SGP,2016
MCAS_6thGrade_English_Incl. in SGP(#),MCAS Achievement Results (grade 6 Math),Incl. in SGP(#),2016
MCAS_7thGrade_English_P+A #,MCAS Achievement Results (grade 7 Math),P+A #,2016
% MCAS_7thGrade_English_P+A,MCAS Achievement Results (grade 7 Math),P+A %,2016
MCAS_7thGrade_English_A #,MCAS Achievement Results (grade 7 Math),A #,2016
% MCAS_7thGrade_English_A,MCAS Achievement Results (grade 7 Math),A %,2016
MCAS_7thGrade_English_P #,MCAS Achievement Results (grade 7 Math),P #,2016
% MCAS_7thGrade_English_P,MCAS Achievement Results (grade 7 Math),P %,2016
MCAS_7thGrade_English_NI #,MCAS Achievement Results (grade 7 Math),NI #,2016
% MCAS_7thGrade_English_NI,MCAS Achievement Results (grade 7 Math),NI %,2016
MCAS_7thGrade_English_W/F #,MCAS Achievement Results (grade 7 Math),W/F #,2016
% MCAS_7thGrade_English_W/F,MCAS Achievement Results (grade 7 Math),W/F %,2016
MCAS_7thGrade_English_Stud. Incl. #,MCAS Achievement Results (grade 7 Math),Stud. Incl. #,2016
MCAS_7thGrade_English_CPI,MCAS Achievement Results (grade 7 Math),CPI,2016
MCAS_7thGrade_English_SGP,MCAS Achievement Results (grade 7 Math),SGP,2016
MCAS_7thGrade_English_Incl. in SGP(#),MCAS Achievement Results (grade 7 Math),Incl. in SGP(#),2016
MCAS_8thGrade_English_P+A #,MCAS Achievement Results (grade 8 Math),P+A #,2016
% MCAS_8thGrade_English_P+A,MCAS Achievement Results (grade 8 Math),P+A %,2016
MCAS_8thGrade_English_A #,MCAS Achievement Results (grade 8 Math),A #,2016
% MCAS_8thGrade_English_A,MCAS Achievement Results (grade 8 Math),A %,2016
MCAS_8thGrade_English_P #,MCAS Achievement Results (grade 8 Math),P #,2016
% MCAS_8thGrade_English_P,MCAS Achievement Results (grade 8 Math),P %,2016
MCAS_8thGrade_English_NI #,MCAS Achievement Results (grade 8 Math),NI #,2016
% MCAS_8thGrade_English_NI,MCAS Achievement Results (grade 8 Math),NI %,2016
MCAS_8thGrade_English_W/F #,MCAS Achievement Results (grade 8 Math),W/F #,2016
% MCAS_8thGrade_English_W/F,MCAS Achievement Results (grade 8 Math),W/F %,2016
MCAS_8thGrade_English_Stud. Incl. #,MCAS Achievement Results (grade 8 Math),Stud. Incl. #,2016
MCAS_8thGrade_English_CPI,MCAS Achievement Results (grade 8 Math),CPI,2016
MCAS_8thGrade_English_SGP,MCAS Achievement Results (grade 8 Math),SGP,2016
MCAS_8thGrade_English_Incl. in SGP(#),MCAS Achievement Results (grade 8 Math),Incl. in SGP(#),2016
MCAS_10thGrade_English_P+A #,MCAS Achievement Results (grade 10 Math),P+A #,2016
% MCAS_10thGrade_English_P+A,MCAS Achievement Results (grade 10 Math),P+A %,2016
MCAS_10thGrade_English_A #,MCAS Achievement Results (grade 10 Math),A #,2016
% MCAS_10thGrade_English_A,MCAS Achievement Results (grade 10 Math),A %,2016
MCAS_10thGrade_English_P #,MCAS Achievement Results (grade 10 Math),P #,2016
% MCAS_10thGrade_English_P,MCAS Achievement Results (grade 10 Math),P %,2016
MCAS_10thGrade_English_NI #,MCAS Achievement Results (grade 10 Math),NI #,2016
% MCAS_10thGrade_English_NI,MCAS Achievement Results (grade 10 Math),NI %,2016
MCAS_10thGrade_English_W/F #,MCAS Achievement Results (grade 10 Math),W/F #,2016
% MCAS_10thGrade_English_W/F,MCAS Achievement Results (grade 10 Math),W/F %,2016
MCAS_10thGrade_English_Stud. Incl. #,MCAS Achievement Results (grade 10 Math),Stud. Incl. #,2016
MCAS_10thGrade_English_CPI,MCAS Achievement Results (grade 10 Math),CPI,2016
MCAS_10thGrade_English_SGP,MCAS Achievement Results (grade 10 Math),SGP,2016
MCAS_10thGrade_English_Incl. in SGP(#),MCAS Achievement Results (grade 10 Math),Incl. in SGP(#),2016
Accountability and Assistance Level,Accountability Report (school),Accountability and Assistance Level,2016
Accountability and Assistance Description,Accountability Report (school),Accountability and Assistance Description,2016
School Accountability Percentile (1-99),Accountability Report (school),School Percentile (1-99),2016
Progress and Performance Index (PPI) - All Students,Accountability Report (school),Progress and Performance Index (PPI) - All Students,2016
Progress and Performance Index (PPI) - High Needs Students,Accountability Report (school),Progress and Performance Index (PPI) - High Needs Students,2016
District_Accountability and Assistance Level,Accountability Report (district),Accountability and Assistance Level,2016
District_Accountability and Assistance Description,Accountability Report (district),Accountability and Assistance Description,2016
District_Progress and Performance Index (PPI) - All Students,Accountability Report (district),Progress and Performance Index (PPI) - All Students,2016
District_Progress and Performance Index (PPI) - High Needs Students,Accountability Report (district),Progress and Performance Index (PPI) - High Needs Students,2016
